symbol	count	first_line	first_sec	last_line	last_sec
I (existence count)	55	76	1	2303	12.1
D+ quantity domain	9	114	1.2	1616	7.5
h holdings	10	283	2.1	393	2.3
R registers	17	280	2.1	1965	9.2
T transfer	1	332	2.2	332	2.2
iota involution	8	428	2.4	2199	11.2
tau closure traversal	16	630	3	2604	14.1
m support/mass	25	20	front	2427	12.2
c channel count	24	659	3	2103	10.3
Cap	12	686	3	1858	8.8
E book energy	8	692	3	2104	10.3
G closure role	18	697	3	2106	10.3
eta edge invariant	9	833	4.2	2103	10.3
D filled share	13	904	4.4	2104	10.3
Omega residual	0	None	None	None	None
omega_cell	9	1081	5.2	1686	7.7
S_res	14	1052	5.1	2066	10.1
N_tick	9	1102	5.2	1599	7.4
T_rt	4	1148	5.4	1161	5.4
u_Phi resolution unit	15	1258	6	1618	7.5
S_Phi action	5	1285	6.2	1312	6.3
g_Phi gap	19	1333	6.3	1495	6.10
phi_rel	1	1377	6.5	1377	6.5
A_Phi aperture	2	1393	6.7	1460	6.10
A# focusing	5	1461	6.10	1487	6.10
hbar	19	1258	6	1858	8.8
sigma orientation	13	372	2.2	2340	12.2
L locus	14	176	1.4	1823	8.6
reg registration	2	1729	8	1743	8.2
Obs role	1	1756	8.3	1756	8.3
t_base	9	574	2.8	1829	8.6
m_base	6	583	2.8	1848	8.8
t(L) time readout	5	1791	8.5	1823	8.6
s(L) support readout	3	1808	8.6	1823	8.6
S_flow	4	2086	10.1	2152	10.3
C4inv	2	2114	10.3	2120	10.3
Pi_o projector	10	2129	10.3	2416	12.2
nu valuation	4	2143	10.3	2297	12.1
P cyclic shift	6	2136	10.3	2416	12.2
V carrier space	2	937	4.4	2267	12.1
lambda amplitudes	39	2257	12	2886	15.2
alpha phase 2/9	10	2348	12.2	2369	12.2
zeta roots	2	2317	12.1	2328	12.2
rho action character	2	2311	12.1	2511	13.1
A_sigma_j operator	1	2328	12.2	2328	12.2
M_read	2	2411	12.2	2856	15.2
q supports	18	114	1.2	2661	14.2
R_mid/min	6	2437	12.2	2583	13.3
R_max/min	3	2438	12.2	2585	13.3
n_mid	1	2508	13.1	2508	13.1
rho_mid fractional	1	2511	13.1	2511	13.1
C root carrier	17	698	3	2552	13.3
Gamma_dir	3	2530	13.2	2545	13.3
Gamma_route	3	2530	13.2	2545	13.3
Gamma_scr	2	2545	13.3	2552	13.3
s_409	16	2564	13.3	2885	15.2
M_e^std	8	2629	14.2	2885	15.2
B reporting map	7	2635	14.2	2660	14.2
S_e scale	4	2654	14.2	2664	14.2
Q_K Koide	2	2754	15.1	2761	15.1
Delta_K	3	2813	15.2	2824	15.2
r_mu	2	2768	15.1	2777	15.1
r_tau	3	2768	15.1	2777	15.1
M_exist	1	655	3	655	3
M_base	2	729	3	846	4.2
M_cell	4	975	4.6	2104	10.3
Lambda_FCC	7	816	4.2	1009	4.7
S12 shell	2	838	4.2	865	4.2
REF referent	2	990	4.7	1021	4.7
I_bulk	4	1480	6.10	2303	12.1
I_screen	4	1482	6.10	1504	6.11
K update index	15	1085	5.2	2824	15.2
k update index	7	1057	5.1	2345	12.2
x cycle count	33	176	1.4	2466	13.1
epsilon4	1	1175	5.5	1175	5.5
xi lattice site	5	887	4.2	2258	12
G3 group	1	674	3	674	3
D3 group	3	15	front	2850	15.2
u normalization	13	509	2.6	2028	9.4
r inradius	28	298	2.1	2773	15.1
